name,region,city,postal_code,country,email,id,lat,lng
Gotska Golfklubb,Gotland,VISBY,62141.0,Sverige,info@gotskagk.se,e6cbd378-f6ef-480f-8a74-c39099842549,,
Forsgårdens Golfklubb,Halland,KUNGSBACKA,43447.0,Sverige,kansli@forsgarden.se,f6dfc227-53eb-49f7-8182-456d995efe92,57.4981774,12.1097998
Hede-Vemdalens Golfklubb,,HEDE,84631.0,Sverige,kansli@hede-vemdalensgk.se,40ec4c68-6bc8-42d9-86a6-f993fd65b94d,62.4233761,13.5085353
Hudiksvalls Golfklubb,,HUDIKSVALL,82491.0,Sverige,jon@hudiksvallsgk.se,49ec7286-842d-45eb-a48c-03812509c916,,
Arninge Golfklubb,,TÄBY,18769.0,Sverige,klubbchef@arningegk.se,80e90da7-26e6-443e-86fd-71f059b77187,59.4811492,18.1257884
Crownwood Golf,,,,Sverige,golf@crownwood.club,d11abe58-0d32-4f2c-8ac8-66eca37d6c63,,
Torsby Golfklubb,Värmland,TORSBY,68592.0,Sverige,info@torsbygolfklubb.se,aa609a07-26c7-4cdc-b49e-b3f91ed92e5e,,
Delsjö Golfklubb,,GÖTEBORG,41276.0,Sverige,info@degk.se,46e9603a-5e54-48d0-b73e-ca0936719284,57.6893038,12.0192071
Hofors Golfklubb,,HOFORS,81391.0,Sverige,info@hoforsgk.se,048c9d4d-cb65-4fb2-a529-cf4323bf0ce1,60.521994,16.3724589
Ronneby Golfklubb,Blekinge,RONNEBY,37273.0,Sverige,info@ronnebygk.se,7e9959bc-0055-48ac-b827-c75927844e5f,56.1896858,15.2934408
Flommens Golfklubb,Skåne,FALSTERBO,23940.0,Sverige,reception@flommensgk.se,0fb95bb1-6c01-45fa-b89b-0e5d287f1848,55.3936584,12.8279084
Oskarshamns Golfklubb,Småland,OSKARSHAMN,57293.0,Sverige,info@oskarshamnsgk.com,49023a45-95f0-4a09-be28-8342c29d0d89,57.1938629,16.3918036
Forshaga Golfklubb,Värmland,DEJE,66991.0,Sverige,info@forshagadejegk.se,b9a5b540-1414-48f8-a2d1-8964778d1d21,,
Djursholms Golfklubb,,DJURSHOLM,18263.0,Sverige,info@dgk.nu,4248b9e6-94a0-42e9-9c96-23916ba49083,59.4166843,18.0701553
Naturligtvis Golf & Country Club,,GENARP,24799.0,Sverige,info@naturligtvisgcc.se,b6baadc1-93dc-4133-8668-745170f84ad3,,
Glasrikets Golfklubb Växjö,,VÄXJÖ,35592.0,Sverige,info@glasriketsgk.se,7bd30526-d1b1-40ad-950e-7fc73027d4ce,56.8982474,14.8680174
Ombergs Golf Resort,Östergötland,ÖDESHÖG,59993.0,Sverige,info@ombergsgolfresort.se,c39f1aa2-5168-4c18-b44d-d12b77e861d5,,
Gunnarns Golfklubb,Västerbotten,GUNNARN,95342.0,Sverige,gunnarngolf@gmail.com,5861fd66-7b14-4740-9dcc-89e6613d33a0,,
Östra Göinge Golfklubb,Skåne,KNISLINGE,28931.0,Sverige,04460060@telia.com,2600ea29-8186-4c05-a867-f45c81fcb167,56.2015298,14.0853851
Vinbergs Golfklubb,,FALKENBERG,31195.0,Sverige,info@vinbergsgolfklubb.se,758d7694-35b7-4d73-ad33-d8228513cd2a,56.9641521,12.5551589
Klövsjö-Vemdalens Golfklubb,,KLÖVSJÖ,84597.0,Sverige,kvgk@telia.com,faf90112-8444-4a3f-a0f1-fb7f3bc568ec,,
Nacka Golfklubb,,SALTSJÖ-BOO,13236.0,Sverige,info@nackagk.se,651b23e7-9ed5-432f-8ffa-45782468340e,,
Wasa Golfklubb,Södermanland,SÖDERTÄLJE,15152.0,Sverige,info@wasagolf.se,e4c35d52-1263-4dd1-861f-877e17067476,,
Knistad Golf & Country Club,,SKÖVDE,54192.0,Sverige,info@knistad.se,8ef887b6-b50e-4b62-8319-54db8dfb3c4c,58.4210057,13.9458846
Sönnertorps Golfklubb,Skåne,BÅSTAD,26993.0,Sverige,info@sonnertorpgolf.se,4b64531e-1453-47c3-81ae-de365807e7c8,,
Arvidsjaurs Golfklubb,,ARVIDSJAUR,93334.0,Sverige,info@arvidsjaurgolf.se,1dc4b9e1-ca2b-42b5-b78a-1558a6d9e215,65.5857069,19.2135755
Johannesberg Golfklubb,,RIMBO,76295.0,Sverige,golf@johannesbergsgolf.se,a9d34edb-c0a5-4b0a-8a32-cec9377578ae,,
Tobo Golfklubb,Småland,VIMMERBY,59891.0,Sverige,info@tobogk.se,d010f82d-8031-452f-b292-0bd1d7144e38,57.576815,15.8109958
Gällivare-Malmbergets Golfklubb,,MALMBERGET,98321.0,Sverige,gmgk@GALLIVAREMALMBERGETSGOLF.onmicrosoft.com,536678ed-755a-4ca1-afc6-1963d9d84892,,
Loftahammars Golfklubb,Småland,LOFTAHAMMAR,59095.0,Sverige,info@loftahammarsgk.se,dcc6074a-b75f-4399-ac18-ec1ca12d2583,57.9096033,16.6990544
Kungl. Drottningholms Golfklubb,,DROTTNINGHOLM,17893.0,Sverige,info@kdrgk.se,bfd13b90-c4df-4660-afa9-0b953fcd623d,59.3175288,17.8539679
Göteborgs Golf Klubb,,HOVÅS,43650.0,Sverige,reception@goteborgsgk.org,f9ceaff2-4166-4857-9d24-93e96f55f065,57.6115165,11.9284343
Örnsköldsviks Golfklubb Puttom,,ARNÄSVALL,89195.0,Sverige,kansli@puttom.se,0b2062ae-e752-418b-bf67-af121d75de86,,
A6 Golfklubb,Småland,JÖNKÖPING,55305.0,Sverige,info@a6gk.se,081d1920-eb5c-4303-9940-420beacd2351,57.7603579,14.2169419
Wäsby Golfklubb,Stockholm,UPPLANDS VÄSBY,19492.0,Sverige,kansli@wasbygolf.se,bfd70135-982b-498e-b000-b2766a5b0f17,,
Olandsbygdens Golfklubb,Östhammars kommun,ALUNDA,74791.0,Sverige,golf@olandsbygdensgk.se,57078b98-8f8e-4f5c-b34b-abc28a008d77,,
Höganäs Golfklubb,,LERBERGET,26354.0,Sverige,kansli@hoganasgk.se,0a68a2e0-5ac6-4e16-a917-787287156b70,56.1832784,12.5743192
Arlandastad Golfklubb,Uppland,ROSERSBERG,19595.0,Sverige,info@arlandastadgolf.se,71336f7e-b950-4646-9dc9-2fdd402f208a,,
Sparren Golfklubb,,RIMBO,76293.0,Sverige,info@sparrengolf.se,b3375301-159a-4f88-8820-4532c7eeb90c,,
Skerike Golfklubb,,VÄSTERÅS,72593.0,Sverige,kansli@skerikegk.se,35f9ce62-4d8d-4f47-be24-98c535fe369c,,
Mackmyra Golf,,VALBO,81832.0,Sverige,info@mackmyragolf.se,c370bf9b-822c-4fd1-8fc1-eed6cb64446e,,
Avesta Golfklubb,,AVESTA,77461.0,Sverige,info@avestagk.se,ddd7635c-0544-4589-8e19-5afa8436c2cb,60.1450019,16.216104
Albatross Golfklubb,,HISINGS BACKA,42250.0,Sverige,reception@albatrossgolf.se,f173cf07-11fe-4da2-9b11-8ff9f5911cd1,,
Strängnäs Golfklubb,SÖDERMANLAND,STRÄNGNÄS,64547.0,Sverige,info@strangnasgk.se,eef8e028-3603-4959-a66a-2f5289b4f9b1,59.3473495,17.024402
Hässlegårdens Golfklubb,,HÄSSLEHOLM,28135.0,Sverige,info@hggk.se,13840737-732c-4ecb-8d4f-a93a68672850,,
Gripsholms Golfklubb,Södermanland,MARIEFRED,64731.0,Sverige,info@gripsholmsgk.se,b103184a-67a6-4095-bcdf-c42cb2aae41b,59.2622921,17.1982796
Huvudstadens Golfklubb,,VALLENTUNA,18692.0,Sverige,info@huvudstadensgolfklubb.se,38cfed92-8358-405c-b97e-242bef8b8da0,59.5578037,18.0290527
Hässelby Golfklubb,Stockholm,HÄSSELBY,16572.0,Sverige,hasselby@golfstar.se,646db102-140d-439a-966e-25027306653d,,
Stannum Golfklubb,,GRÅBO,44370.0,Sverige,info@stannumgolf.se,4ae0311d-9650-46b6-ab5c-80b289b30095,,
Waxholms Golfklubb,,VAXHOLM,18593.0,Sverige,info@waxholmsgolfklubb.se,c40d009a-c5b0-4ff0-b408-25859a9fdf85,59.3907425,18.2452082
Viksbergs Golfklubb,,SÖDERTÄLJE,15295.0,Sverige,styrelsen@viksbergsgolf.se,8e7be363-c559-472e-a74d-df0d8deb86c5,59.2491012,17.6195894
Väddö Golfklubb,,VÄDDÖ,76040.0,Sverige,info@vgk.nu,d76361c5-2d09-42b4-9ba3-292cd60f6718,,
Vadstena Golfklubb,,VADSTENA,59294.0,Sverige,kansli@vadstenagk.nu,12d45ade-16ae-4dbc-b886-113db4207016,58.4206064,14.8953357
Ekholmsnäs Golf Lidingö,,LIDINGÖ,18141.0,Sverige,info@ekholmsnasgolf.se,10395a91-58db-4dfa-a9fb-0423d39bc3ed,,
Vassunda Golfklubb,,KNIVSTA,74191.0,Sverige,info@vassundagolf.se,e193ff1b-3f56-4689-b110-1fbd871f4043,59.6867308,17.7083653
Vallentuna Golfklubb,,VALLENTUNA,18694.0,Sverige,kansli@vallentunagk.se,0eef2917-46bf-4a2e-95a5-60cb3e9fd0ab,59.5618357,18.1118466
The National Golfresort,,BARA,23302.0,Sverige,reception@thenational.se,b177a5ea-ba4e-48b0-88f5-d242b2516b75,,
Älvkarleby Golfklubb,Uppland,ÄLVKARLEBY,81494.0,Sverige,info@alvkarlebygk.com,7cc9a6ff-1a9b-4f62-ad84-681a4cd02411,60.5907175,17.4455521
Kvicksund Golfklubb,,KVICKSUND,63531.0,Sverige,info@kvicksundgolf.com,de03ad2e-f4c5-4289-a9d9-814cc714ede2,,
Båstad Golfklubb,,BÅSTAD,26994.0,Sverige,kansli@bgk.se,49acc0b1-0fc3-43d9-b9d9-9e7616439da7,56.4289151,12.7916478
Sandnäset Golf,,DVÄRSÄTT,83541.0,Sverige,info@sandnasetgolf.se,bb44b4ec-c171-4338-af65-2a230dea4fc3,,
Torekovs Golfklubb,,TOREKOV,26976.0,Sverige,info@togk.se,7cdd8145-5f49-4c59-9ef3-2cabdbf7abf0,,
Stockholms Golfklubb,Stockholm,DANDERYD,18257.0,Sverige,reception@stockholmsgolfklubb.se,e0809e9b-0d7d-420f-9ed1-17fe543bee36,59.395953,18.0250356
Saltsjöbadens Golfklubb,Stockholm,SALTSJÖBADEN,13321.0,Sverige,info@saltsjobadengk.se,2ad91290-a073-456f-8cd6-10f8f7f29173,59.2841031,18.2660309
Kallfors Golf,,JÄRNA,15338.0,Sverige,info@golfsouth.se,fdb8dd91-43c1-40d6-b892-fd6d914c0789,,
Ingarö Golfklubb,Stockholm,INGARÖ,13464.0,Sverige,info@igk.se,40b37bcc-da06-44fc-a6cf-f0e9bea92f65,,
Torslanda Golfklubb,,TORSLANDA,42338.0,Sverige,reception@torslandagk.se,5e6085be-032d-42aa-873d-114b4a21608a,57.7037926,11.7804175
Vårdsbergs Golfklubb,,LINKÖPING,58592.0,Sverige,info@vardsbergsgk.se,b2a1c567-8b38-4517-b9b2-e0477d368b7a,58.4123519,15.7459512
Woodlands Golf & Country Club,,ÖRKELLJUNGA,28691.0,Sverige,golf@woodlands.se,f7c083d9-9607-4d65-9b34-ad8a53b03b9b,,
Vidbynäs Golf,,NYKVARN,15591.0,Sverige,info@golfsouth.se,d8392083-5822-414b-b452-43a3c05a1724,,
Lerjedalens Golfklubb,,GUNNILSE,42456.0,Sverige,kansli@lerjedalen.se,448d6e54-095c-43a6-81ce-9fd44690f220,57.7930216,12.1053771
Blixtorps Golf,Hallands län,VARBERG,43291.0,Sverige,info@blixtorpsgolf.se,e8e4432d-7e9f-44b1-a20c-d1cf1fdfdbd4,,
Wittsjö Golfklubb,Södra,VITTSJÖ,28022.0,Sverige,info@wittsjogk.se,246ddd60-0275-4668-91f1-e95923a1eaa9,,
Ekarnas Golfklubb,,GRÄSTORP,46792.0,Sverige,info@ekarnasgk.se,742f74eb-25ad-4871-a139-f1c0c87df566,58.3329164,12.6531535
Laholms Golfklubb,Halland,VÅXTORP,31298.0,Sverige,kansli@laholmsgk.se,28265a63-bd5d-4b92-8df6-1dd6526c24c7,56.4358454,13.1279375
Mönsterås Golfklubb,,MÖNSTERÅS,38337.0,Sverige,info@monsterasgk.se,ca61f0b8-8f6e-4ebd-a67a-d3d850181fd0,,
Öregrunds Golfklubb,Uppland,ÖSTHAMMAR,74291.0,Sverige,info@oregrundsgk.com,30c0163d-0b1c-412c-a9c3-0189928454c3,60.2766516,18.4114993
Nicklastorp Golfklubb,Blekinge,KARLSKRONA,37191.0,Sverige,kansli@nigk.se,b31136f8-fbb9-4fa7-b789-b6b9bdd85198,,
Sala Golfklubb,,SALA,73392.0,Sverige,info@salagk.se,9b0fb247-7147-4f7a-b102-80f3028ac9c0,59.9457181,16.7131657
Jönköpings Golfklubb,,JÖNKÖPING,55627.0,Sverige,info@jonkopingsgk.se,2c417219-2830-40ec-8a39-4ed980334b24,,
Djurgårdens IF Golfförening,,LIDINGÖ,18142.0,Sverige,info@difgolf.se,5e3b505d-a228-4819-bcb5-d7a90ec4f329,,
Romeleåsens Golfklubb,,VEBERÖD,24796.0,Sverige,info@ragk.se,9b40d38a-2f89-4d49-bd49-fa3f87ae43e2,,
Bredareds Golfklubb,,FRISTAD,51391.0,Sverige,info@bredaredsgk.se,46fc2f8e-4838-4398-9117-8c367fffa9c1,,
Söderåsens Golfklubb,,BILLESHOLM,26771.0,Sverige,info@soderasensgk.se,1bca0a66-35a4-4b5c-a810-e3e739da99fc,56.0493373,12.9534573
