name,region,city,postal_code,country,email,id
Viksbergs Golfklubb,,SÖDERTÄLJE,15295,Sverige,styrelsen@viksbergsgolf.se,8e7be363-c559-472e-a74d-df0d8deb86c5
Väddö Golfklubb,,VÄDDÖ,76040,Sverige,info@vgk.nu,d76361c5-2d09-42b4-9ba3-292cd60f6718
Vadstena Golfklubb,,VADSTENA,59294,Sverige,kansli@vadstenagk.nu,12d45ade-16ae-4dbc-b886-113db4207016
Ekholmsnäs Golf Lidingö,,LIDINGÖ,18141,Sverige,info@ekholmsnasgolf.se,10395a91-58db-4dfa-a9fb-0423d39bc3ed
Vassunda Golfklubb,,KNIVSTA,74191,Sverige,info@vassundagolf.se,e193ff1b-3f56-4689-b110-1fbd871f4043
Vallentuna Golfklubb,,VALLENTUNA,18694,Sverige,kansli@vallentunagk.se,0eef2917-46bf-4a2e-95a5-60cb3e9fd0ab
The National Golfresort,,BARA,23302,Sverige,reception@thenational.se,b177a5ea-ba4e-48b0-88f5-d242b2516b75
Älvkarleby Golfklubb,Uppland,ÄLVKARLEBY,81494,Sverige,info@alvkarlebygk.com,7cc9a6ff-1a9b-4f62-ad84-681a4cd02411
Kvicksund Golfklubb,,KVICKSUND,63531,Sverige,info@kvicksundgolf.com,de03ad2e-f4c5-4289-a9d9-814cc714ede2
Båstad Golfklubb,,BÅSTAD,26994,Sverige,kansli@bgk.se,49acc0b1-0fc3-43d9-b9d9-9e7616439da7
Sandnäset Golf,,DVÄRSÄTT,83541,Sverige,info@sandnasetgolf.se,bb44b4ec-c171-4338-af65-2a230dea4fc3
Torekovs Golfklubb,,TOREKOV,26976,Sverige,info@togk.se,7cdd8145-5f49-4c59-9ef3-2cabdbf7abf0
Stockholms Golfklubb,Stockholm,DANDERYD,18257,Sverige,reception@stockholmsgolfklubb.se,e0809e9b-0d7d-420f-9ed1-17fe543bee36
Saltsjöbadens Golfklubb,Stockholm,SALTSJÖBADEN,13321,Sverige,info@saltsjobadengk.se,2ad91290-a073-456f-8cd6-10f8f7f29173
Kallfors Golf,,JÄRNA,15338,Sverige,info@golfsouth.se,fdb8dd91-43c1-40d6-b892-fd6d914c0789
Ingarö Golfklubb,Stockholm,INGARÖ,13464,Sverige,info@igk.se,40b37bcc-da06-44fc-a6cf-f0e9bea92f65
Torslanda Golfklubb,,TORSLANDA,42338,Sverige,reception@torslandagk.se,5e6085be-032d-42aa-873d-114b4a21608a
Vårdsbergs Golfklubb,,LINKÖPING,58592,Sverige,info@vardsbergsgk.se,b2a1c567-8b38-4517-b9b2-e0477d368b7a
Woodlands Golf & Country Club,,ÖRKELLJUNGA,28691,Sverige,golf@woodlands.se,f7c083d9-9607-4d65-9b34-ad8a53b03b9b
Vidbynäs Golf,,NYKVARN,15591,Sverige,info@golfsouth.se,d8392083-5822-414b-b452-43a3c05a1724
Lerjedalens Golfklubb,,GUNNILSE,42456,Sverige,kansli@lerjedalen.se,448d6e54-095c-43a6-81ce-9fd44690f220
Blixtorps Golf,Hallands län,VARBERG,43291,Sverige,info@blixtorpsgolf.se,e8e4432d-7e9f-44b1-a20c-d1cf1fdfdbd4
Wittsjö Golfklubb,Södra,VITTSJÖ,28022,Sverige,info@wittsjogk.se,246ddd60-0275-4668-91f1-e95923a1eaa9
Ekarnas Golfklubb,,GRÄSTORP,46792,Sverige,info@ekarnasgk.se,742f74eb-25ad-4871-a139-f1c0c87df566
Laholms Golfklubb,Halland,VÅXTORP,31298,Sverige,kansli@laholmsgk.se,28265a63-bd5d-4b92-8df6-1dd6526c24c7
Mönsterås Golfklubb,,MÖNSTERÅS,38337,Sverige,info@monsterasgk.se,ca61f0b8-8f6e-4ebd-a67a-d3d850181fd0
Öregrunds Golfklubb,Uppland,ÖSTHAMMAR,74291,Sverige,info@oregrundsgk.com,30c0163d-0b1c-412c-a9c3-0189928454c3
Nicklastorp Golfklubb,Blekinge,KARLSKRONA,37191,Sverige,kansli@nigk.se,b31136f8-fbb9-4fa7-b789-b6b9bdd85198
Sala Golfklubb,,SALA,73392,Sverige,info@salagk.se,9b0fb247-7147-4f7a-b102-80f3028ac9c0
Jönköpings Golfklubb,,JÖNKÖPING,55627,Sverige,info@jonkopingsgk.se,2c417219-2830-40ec-8a39-4ed980334b24
Djurgårdens IF Golfförening,,LIDINGÖ,18142,Sverige,info@difgolf.se,5e3b505d-a228-4819-bcb5-d7a90ec4f329
Romeleåsens Golfklubb,,VEBERÖD,24796,Sverige,info@ragk.se,9b40d38a-2f89-4d49-bd49-fa3f87ae43e2
Bredareds Golfklubb,,FRISTAD,51391,Sverige,info@bredaredsgk.se,46fc2f8e-4838-4398-9117-8c367fffa9c1
Söderåsens Golfklubb,,BILLESHOLM,26771,Sverige,info@soderasensgk.se,1bca0a66-35a4-4b5c-a810-e3e739da99fc
Falköpings Golfklubb,Västergötland,FALKÖPING,52196,Sverige,info@falkopingsgk.com,a6368135-82c6-4fcb-b656-15c210df04ba
Högbo Golfklubb,,SANDVIKEN,81192,Sverige,info@hogbogk.com,4b1f5a4e-e5d6-4f9e-93d5-c71991bdb167
Sisjö Golfklubb,,VÄSTRA FRÖLUNDA,42132,Sverige,sisjogk@telia.com,c076b0e4-30a8-4399-89e9-a0ae5466e251
Kalix Golfklubb,,KALIX,95251,Sverige,info@kalixgolfklubb.se,328ad582-f21e-47e3-aad6-44bdedb37d9d
Bryttsätter Golfklubb,,NORRKÖPING,60596,Sverige,info@spelagolf.nu,ff05606a-aca5-4f0d-82f8-53068081b522
Burviks Golfklubb,,KNUTBY,74198,Sverige,info@burvik.se,ed669f52-ea75-4d70-8d26-c634385fd5ab
Nybro Golfklubb,,NYBRO,38292,Sverige,info@nybrogk.se,e3aa5342-952a-4674-948e-c9a88e4c0059
Norderöns Golfklubb/Njord,Jämtlands län,FRÖSÖN,83293,Sverige,info@norderonsgk.se,d9a89e50-7e40-4ecd-a2b0-d59365f601b5
Holms Golfklubb,,HALMSTAD,30592,Sverige,info@holmsgk.se,60eef14c-9b70-490a-835d-250237aebf83
Kiladalens Golfklubb,,NYKÖPING,61195,Sverige,info@kiladalensgolf.se,6085f1e9-6476-40c6-a218-3e23b7a35b41
Söderhamns Golfklubb,,SÖDERHAMN,82691,Sverige,info@soderhamnsgk.com,06ab2f7a-d460-4655-a180-069a1ebf1989
Tällbergsbyarnas Golfklubb,Dalarna,TÄLLBERG,79370,Sverige,kansli@tallberggk.com,a30b7ce1-2d17-4472-9147-efa442103efb
Hulta-Bollebygd Golfklubb,,BOLLEBYGD,51792,Sverige,info@hultagk.se,c80c4ead-559b-45cf-804e-65d0cd30714f
Kiruna Golfklubb,,KIRUNA,98102,Sverige,admin@kirunagolfklubb.com,50dd218e-cd66-4481-a230-c0570ec1126b
Ljugarns Golfklubb,Gotland,LJUGARN,62321,Sverige,info@ljugarnsgk.se,c3f79828-941b-4096-bc2c-0eb7d926a65e
Öijared Golfklubb,,FLODA,44892,Sverige,info@oijared.se,7e4df02e-21d1-40ed-a68a-5f8b8e4fe8f9
Askersunds Golfklubb,,ÅMMEBERG,69675,Sverige,info@askersundsgolfklubb.se,8e28b72c-2450-447d-a315-94a7482c3843
Trummenäs Golfklubb,,RAMDALA,37302,Sverige,kansli@trummenasgk.se,7da92a3b-12a8-48a4-a77e-0fef588e0089
Norrby Golf,,MARIEFRED,64791,Sverige,info@norrbygolf.se,fec447fb-868b-4a0f-970e-07eddc33f59e
Harabäckens Golfklubb,Halland,VARBERG,43291,Sverige,info@harabacken.se,d2adb733-0f64-4d40-b099-55c0b7c6e2f9
